Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
5001,21,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,,AA
5002,20,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
5003,21,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
5004,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
5005,22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
5006,20,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
5007,18,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,Yes,CC
5008,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,,BA
5009,19,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
5010,21,Female,State,50%,No,No,Bus,12,Never,No,Yes,No,No,Fail
5011,18,Female,Private,50%,No,No,Private,12,Sometimes,No,No,No,Yes,BA
5012,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
5013,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
5014,19,Female,State,100%,No,No,Private,0,Always,Yes,No,No,Yes,AA
5015,37,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
5016,22,Male,State,50%,No,No,Private,0,Always,No,Yes,No,Yes,BA
5017,18,Female,State,100%,No,Yes,Private,0,Always,Yes,No,No,No,AA
5018,22,Male,State,50%,No,No,Private,0,Always,Yes,No,,Yes,BA
5019,18,Female,State,75%,No,No,Private,12,Always,Yes,No,No,No,BA
5020,18,Male,Private,50%,No,No,Bus,2,Sometimes,No,No,Yes,No,BB
5021,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
5022,18,Male,State,100%,No,No,Bus,0,Never,No,No,No,No,AA
5023,22,Male,State,50%,Yes,No,Bus,0,Always,Yes,Yes,Yes,No,BB
5024,25,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
5025,19,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,No,BA
5026,20,Male,State,50%,No,No,Bus,0,Always,No,Yes,No,No,BB
5027,20,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
5028,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
5029,24,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
5030,19,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
5031,19,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,CC
5032,25,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
5033,19,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
5034,21,Female,State,50%,Yes,No,Bus,0,Always,Yes,Yes,No,,BA
5035,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
5036,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
5037,19,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
5038,20,Male,State,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
5039,21,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
5040,22,Female,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,AA
5041,18,Male,Private,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,AA
5042,24,Male,State,50%,Yes,No,Private,2,Always,No,Yes,No,Yes,AA
5043,21,Male,State,50%,No,Yes,Private,0,Never,No,Yes,No,Yes,AA
5044,18,Male,State,50%,No,No,,0,Always,Yes,No,Yes,No,CB
5045,20,Male,Other,50%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
5046,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
5047,19,Male,State,50%,No,No,Bus,0,Always,Yes,Yes,No,No,CC
5048,19,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
5049,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
5050,18,Male,Private,75%,No,No,Private,2,Never,Yes,No,Yes,Yes,BA
5051,21,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
5052,19,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
5053,22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
5054,21,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
5055,21,Male,State,50%,No,No,Private,12,Never,No,Yes,No,Yes,BB
5056,25,Male,State,50%,Yes,No,Bus,8,Always,No,Yes,Yes,No,BB
5057,20,Male,State,50%,No,Yes,Private,0,Always,Yes,Yes,Yes,No,CC
5058,21,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
5059,23,Male,State,50%,,No,Bus,12,Always,Yes,Yes,Yes,No,BB
5060,19,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
5061,19,Female,State,50%,No,No,Private,12,Sometimes,Yes,6,Yes,No,BA
5062,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
5063,21,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
5064,22,Male,State,75%,No,No,Bus,2,Always,Yes,Yes,Yes,No,CC
5065,22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
5066,18,Male,State,50%,No,No,Bus,12,Always,Yes,No,No,No,BA
5067,22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,CC
5068,19,Male,Other,50%,Yes,Yes,Private,12,Always,No,No,No,No,AA
5069,19,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
5070,21,Female,State,75%,No,No,Bus,0,Always,Yes,No,No,Yes,CC
5071,18,Male,State,,No,Yes,Bus,0,Always,Yes,Yes,Yes,Yes,DD
5072,18,Female,Other,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
5073,18,Male,State,50%,No,Yes,Bus,0,Always,,Yes,Yes,Yes,DC
5074,21,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
5075,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
5076,18,Male,State,75%,No,Yes,Private,0,Always,No,Yes,No,No,DD
5077,20,Male,Private,25%,No,Yes,Private,2,Always,Yes,Yes,No,No,CB
5078,18,Male,Private,25%,No,No,Bus,2,Sometimes,No,6,No,Yes,DD
5079,19,Female,State,75%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,CB
5080,19,Male,State,75%,No,No,Private,0,Always,Yes,Yes,Yes,No,BB
5081,20,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
5082,24,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
5083,20,Male,State,75%,Yes,No,Bus,2,Always,Yes,No,Yes,No,DD
5084,21,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
5085,24,Male,Other,50%,Yes,No,Car,12,Always,No,Yes,No,No,DD
5086,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
5087,21,Male,State,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
5088,20,Male,State,50%,No,Yes,Private,2,Always,Yes,No,No,Yes,DC
5089,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
5090,22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
5091,22,Female,State,50%,No,Yes,Bus,0,Sometimes,No,No,Yes,Yes,DC
5092,20,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
5093,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
5094,18,Male,State,,Yes,No,Bus,0,Always,No,Yes,No,No,CB
5095,20,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
5096,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
5097,18,Male,State,75%,No,Yes,Bus,0,Sometimes,No,No,No,No,DD
5098,18,Male,State,75%,Yes,No,Private,0,Always,No,No,Yes,No,DC
5099,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
5100,20,Male,State,50%,No,No,Private,0,Never,No,No,No,Yes,DD
5101,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
5102,18,Male,State,75%,No,No,Bus,2,Always,No,No,Yes,Yes,DD
5103,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
5104,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
5105,18,Female,State,50%,No,No,Private,0,Sometimes,No,Yes,No,Yes,BB
5106,18,Male,State,75%,Yes,Yes,Private,0,Always,Yes,No,No,No,DD
5107,18,Male,State,75%,No,Yes,Private,0,Always,No,No,No,Yes,DD
5108,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
5109,22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
5110,18,Male,Private,50%,No,Yes,Bus,0,Sometimes,No,Yes,No,Yes,DD
5111,22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
5112,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
5113,20,Female,Other,50%,Yes,No,Private,0,3,No,Yes,Yes,Yes,BA
5114,21,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
5115,21,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
5116,19,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
5117,21,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
5118,26,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
5119,18,Male,State,100%,No,Yes,Bus,0,Never,No,Yes,No,No,AA
5120,21,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
5121,21,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
5122,21,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
5123,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
5124,22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
5125,18,Female,State,75%,Yes,Yes,Bus,0,Always,No,No,Yes,Yes,
5126,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
5127,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,6,Yes,BB
5128,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
5129,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
5130,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
5131,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
5132,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
5133,18,Female,Private,100%,No,Yes,Private,0,Always,No,Yes,No,No,BB
5134,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
5135,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
5136,22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
5137,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
5138,18,96,Private,100%,No,Yes,Private,0,Always,Yes,No,No,Yes,BA
5139,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,No,Yes,Yes,Fail
5140,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
5141,22,Female,,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
5142,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
5143,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
5144,22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
5145,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
